,column,description
0,url,URL of the article (non-predictive)
1,timedelta,Days between the article publication and the dataset acquisition (non-predictive)
2,ntokenstitle,Number of words in the title
3,ntokenscontent,Number of words in the content
4,nuniquetokens,Rate of unique words in the content
5,nnonstop_words,Rate of non-stop words in the content
6,nnonstopuniquetokens,Rate of unique non-stop words in the content
7,num_hrefs,Number of links
8,numselfhrefs,Number of links to other articles published by Mashable
9,num_imgs,Number of images
10,num_videos,Number of videos
11,averagetokenlength,Average length of the words in the content
12,numkeywords,Number of keywords in the metadata
13,datachannelislifestyle,Is data channel 'Lifestyle'?
14,datachannelis_entertainment,Is data channel 'Entertainment'?
15,datachannelis_bus,Is data channel 'Business'?
16,datachannelis_socmed,Is data channel 'Social Media'?
17,datachannelis_tech,Is data channel 'Tech'?
18,datachannelis_world,Is data channel 'World'?
19,kwminmin,Worst keyword (min. shares)
20,kwmaxmin,Worst keyword (max. shares)
21,kwavgmin,Worst keyword (avg. shares)
22,kwminmax,Best keyword (min. shares)
23,kwmaxmax,Best keyword (max. shares)
24,kwavgmax,Best keyword (avg. shares)
25,kwminavg,Avg. keyword (min. shares)
26,kwmaxavg,Avg. keyword (max. shares)
27,kwavgavg,Avg. keyword (avg. shares)
28,selfreferencemin_shares,Min. shares of referenced articles in Mashable
29,selfreferencemax_shares,Max. shares of referenced articles in Mashable
30,selfreferenceavg_sharess,Avg. shares of referenced articles in Mashable
31,weekdayismonday,Was the article published on a Monday?
32,weekdayistuesday,Was the article published on a Tuesday?
33,weekdayiswednesday,Was the article published on a Wednesday?
34,weekdayisthursday,Was the article published on a Thursday?
35,weekdayisfriday,Was the article published on a Friday?
36,weekdayissaturday,Was the article published on a Saturday?
37,weekdayissunday,Was the article published on a Sunday?
38,is_weekend,Was the article published on the weekend?
39,LDA_00,Closeness to LDA topic 0
40,LDA_01,Closeness to LDA topic 1
41,LDA_02,Closeness to LDA topic 2
42,LDA_03,Closeness to LDA topic 3
43,LDA_04,Closeness to LDA topic 4
44,global_subjectivity,Text subjectivity
45,globalsentimentpolarity,Text sentiment polarity
46,globalratepositive_words,Rate of positive words in the content
47,globalratenegative_words,Rate of negative words in the content
48,ratepositivewords,Rate of positive words among non-neutral tokens
49,ratenegativewords,Rate of negative words among non-neutral tokens
50,avgpositivepolarity,Avg. polarity of positive words
51,minpositivepolarity,Min. polarity of positive words
52,maxpositivepolarity,Max. polarity of positive words
53,avgnegativepolarity,Avg. polarity of negative words
54,minnegativepolarity,Min. polarity of negative words
55,maxnegativepolarity,Max. polarity of negative words
56,title_subjectivity,Title subjectivity
57,titlesentimentpolarity,Title polarity
58,abstitlesubjectivity,Absolute subjectivity level
59,abstitlesentiment_polarity,Absolute polarity level
60,shares,Number of shares (target)
